Geneid,SRR390728,SRR390729,SRR390730,p_value,adjusted_p_value
sokC,5.71210619513877,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
sroA,5.998961500224447,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
sgrS,7.383393131767288,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
ftsO,8.992333729751588,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
tff,6.403599156856591,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
ispZ,6.808512250026917,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
rrsH,11.554279530980667,12.704783810657206,12.254914301434306,1.2847958349235085e-66,2.6466794199424275e-64
ileV,5.998961500224447,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
alaV,6.403599156856591,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
rrlH,11.40701756334313,10.51238417200132,9.574580344850993,1.2847958349235085e-66,2.6466794199424275e-64
rrfH,6.557513296165079,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
aspU,5.308292573951326,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
aspV,0.0,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
thrW,5.71210619513877,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
eyeA,5.71210619513877,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
ffs,7.175897177131124,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
chiX,7.655178862846579,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
allZ,7.868661884932785,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
argU,0.0,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
sokE,6.913762326121295,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
sroC,6.403599156856591,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
glnX,6.221608662818688,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
glnV,5.308292573951326,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
metU,5.71210619513877,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
glnW,4.620083552488898,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
glnU,6.403599156856591,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
leuW,4.620083552488898,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
metT,5.308292573951326,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
chiZ,9.225401754652111,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
sdhX,6.913762326121295,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
lysT,0.0,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
