# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "4" "-a" "GCF_000005845.2_ASM584v2_genomic.gff" "-o" "count_matrix.txt" "-t" "exon" "-g" "gene" "-p" "-B" "SRR390728.sorted.bam" "SRR390729.sorted.bam" "SRR390730.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR390728.sorted.bam	SRR390729.sorted.bam	SRR390730.sorted.bam
sokC	NC_000913.3	16952	17010	+	59	3	0	0
sroA	NC_000913.3	75516	75608	-	93	4	0	0
sgrS	NC_000913.3	77367	77593	+	227	16	0	0
ftsO	NC_000913.3	92485	92658	+	174	80	0	0
tff	NC_000913.3	189712	189847	+	136	6	0	0
ispZ	NC_000913.3	194784	194844	+	61	9	0	0
rrsH	NC_000913.3	223771	225312	+	1542	1037	1039	642
ileV	NC_000913.3	225381	225457	+	77	4	0	0
alaV	NC_000913.3	225500	225575	+	76	6	0	0
rrlH	NC_000913.3	225759	228662	+	2904	895	116	44
rrfH	NC_000913.3	228756	228875	+	120	7	0	0
aspU	NC_000913.3	228928	229004	+	77	2	0	0
aspV	NC_000913.3	236931	237007	+	77	0	0	0
thrW	NC_000913.3	262871	262946	+	76	3	0	0
eyeA	NC_000913.3	272580	272654	+	75	3	0	0
ffs	NC_000913.3	476448	476561	+	114	13	0	0
chiX	NC_000913.3	507204	507287	+	84	21	0	0
allZ	NC_000913.3	533629	533863	+	235	26	0	0
argU	NC_000913.3	564723	564799	+	77	0	0	0
sokE	NC_000913.3	607733	607792	-	60	10	0	0
sroC	NC_000913.3	686681	686843	-	163	6	0	0
glnX	NC_000913.3	696430	696504	-	75	5	0	0
glnV	NC_000913.3	696542	696616	-	75	2	0	0
metU	NC_000913.3	696664	696740	-	77	3	0	0
glnW	NC_000913.3	696756	696830	-	75	1	0	0
glnU	NC_000913.3	696865	696939	-	75	6	0	0
leuW	NC_000913.3	696963	697047	-	85	1	0	0
metT	NC_000913.3	697057	697133	-	77	2	0	0
chiZ	NC_000913.3	708236	708333	+	98	101	0	0
sdhX	NC_000913.3	765050	765150	+	101	10	0	0
lysT	NC_000913.3	780554	780629	+	76	0	0	0
valT	NC_000913.3	780765	780840	+	76	0	0	0
lysW	NC_000913.3	780843	780918	+	76	0	0	0
valZ	NC_000913.3	781068	781143	+	76	0	0	0
lysY	NC_000913.3	781147	781222	+	76	0	0	0
lysZ	NC_000913.3	781369	781444	+	76	1	0	0
lysQ	NC_000913.3	781577	781652	+	76	0	0	0
zbiJ	NC_000913.3	837435	837531	-	97	9	0	0
rybA	NC_000913.3	852725	853064	-	340	24	0	0
rybB	NC_000913.3	887979	888057	-	79	12	0	0
serW	NC_000913.3	925884	925971	-	88	9	0	0
serT	NC_000913.3	1031625	1031712	-	88	2	0	0
serX	NC_000913.3	1097565	1097652	-	88	5	0	0
flgO	NC_000913.3	1140986	1141063	+	78	6	0	0
sraB	NC_000913.3	1146589	1146757	+	169	11	0	0
bhsB	NC_000913.3	1169303	1169402	+	100	16	0	0
C0293	NC_000913.3	1196711	1196782	+	72	7	0	0
rdlA	NC_000913.3	1269323	1269389	+	67	1	0	0
rdlB	NC_000913.3	1269858	1269923	+	66	1	0	0
rdlC	NC_000913.3	1270393	1270460	+	68	1	0	0
narS	NC_000913.3	1279337	1279520	+	184	11	0	0
rttR	NC_000913.3	1287066	1287236	-	171	5	0	0
tyrV	NC_000913.3	1287244	1287328	-	85	0	0	0
tyrT	NC_000913.3	1287538	1287622	-	85	0	0	0
mcaS	NC_000913.3	1405658	1405751	-	94	13	0	0
fnrS	NC_000913.3	1409129	1409250	+	122	12	0	0
ralA	NC_000913.3	1413556	1413734	+	179	19	0	0
kilS	NC_000913.3	1418405	1418502	-	98	8	0	0
micC	NC_000913.3	1437121	1437231	+	111	18	0	0
rydC	NC_000913.3	1491442	1491506	-	65	5	0	0
sokB	NC_000913.3	1492119	1492175	+	57	1	0	0
